,category,gene_program,p_h0,p_h1,log_bayes_factor
0,4,MICB_ligand_receptor_GP,0.9784831890440526,0.021516810955947374,3.8171690717769886
1,4,IFNA16_ligand_receptor_GP,0.9780903154058528,0.021909684594147216,3.7986732547839
2,4,gamma-Aminobutyric acid_metabolite_enzyme_sensor_GP,0.022891767115229025,0.977108232884771,-3.7538200954080647
3,4,ADP_metabolite_enzyme_sensor_GP,0.9752641990579494,0.024735800942050634,3.6744567825693584
4,4,HSPA4_ligand_receptor_GP,0.032054547528703396,0.9679454524712966,-3.4077366730333205
5,4,Androstenedione_metabolite_enzyme_sensor_GP,0.03482440588942656,0.9651755941105734,-3.321991587933868
6,4,FLT3LG_ligand_receptor_GP,0.963099999943347,0.03690000005665295,3.2619456959001414
7,4,L-Glutamine_metabolite_enzyme_sensor_GP,0.0427810241537724,0.9572189758462276,-3.1079375367617486
8,4,Glycerol_metabolite_enzyme_sensor_GP,0.9549246856516811,0.04507531434831891,3.053297731197667
9,4,Dehydroepiandrosterone_metabolite_enzyme_sensor_GP,0.9516708659821228,0.048329134017877196,2.980184678394073
10,4,Naaladl1_ligand_receptor_target_gene_GP,0.9499282217917214,0.05007177820827857,2.9429288855558764
11,4,Tgm2_ligand_receptor_target_gene_GP,0.9479377481108106,0.05206225188918945,2.901848679249059
12,4,IFNA5_ligand_receptor_GP,0.9463,0.05369999999999997,2.8691466419818035
13,4,LIF_ligand_receptor_GP,0.05382043860080139,0.9461795613991986,-2.8667790675594254
14,4,Cfap54_ligand_receptor_target_gene_GP,0.05577743116870158,0.9442225688312984,-2.8289925821765602
15,4,LFNG_ligand_receptor_GP,0.05862720863576747,0.9413727913642326,-2.776140326207712
16,4,Dopamine_metabolite_enzyme_sensor_GP,0.06062702404878691,0.939372975951213,-2.7404718707413895
17,4,ULBP1_ligand_receptor_GP,0.9283229720246072,0.07167702797539277,2.561209397013573
18,4,Alkal2_ligand_receptor_target_gene_GP,0.0751,0.9249,-2.510865064777891
19,4,Apod_ligand_receptor_target_gene_GP,0.9224818362939202,0.07751816370607978,2.4765554067548563
20,4,COMPLEX:IL12A_IL27_ligand_receptor_GP,0.9215192570905687,0.0784807429094313,2.4631703929894724
21,4,IFNL3_ligand_receptor_GP,0.9206518334681782,0.07934816653182175,2.4512365931766245
22,4,Pf4_ligand_receptor_target_gene_GP,0.9157471122960924,0.0842528877039076,2.385917404204971
23,4,IL37_ligand_receptor_GP,0.9147403100933953,0.08525968990660471,2.3729384365785617
24,4,St6gal1_ligand_receptor_target_gene_GP,0.9129668898963575,0.08703311010364245,2.3504109925953376
25,4,Elfn1_ligand_receptor_target_gene_GP,0.09102932441246968,0.9089706755875303,-2.30113113266996
