,category,gene_program,p_h0,p_h1,log_bayes_factor
0,5,CEACAM6_ligand_receptor_GP,0.9878990759225519,0.012100924077448116,4.402298722848942
1,5,CXCL5_ligand_receptor_GP,0.016585729328410015,0.98341427067159,-4.082487819761683
2,5,Add-on_60_GP,0.9828827324516879,0.01711726754831211,4.050402065248086
3,5,S100P_ligand_receptor_GP,0.01902374412620393,0.9809762558737961,-3.9428603654130336
4,5,Mmp7_ligand_receptor_target_gene_GP,0.027386244762454454,0.9726137552375456,-3.569946169210052
5,5,Spink1_ligand_receptor_target_gene_GP,0.028857819604085636,0.9711421803959144,-3.5160918846130236
6,5,DEFB4B_ligand_receptor_GP,0.957666776639021,0.042333223360979,3.118927685107283
7,5,Epcam_ligand_receptor_target_gene_GP,0.9569188864859749,0.043081113514025104,3.100633930185122
8,5,ANGPTL5_ligand_receptor_GP,0.044675453004179515,0.9553245469958205,-3.0626269215262236
9,5,LIFR_ligand_receptor_GP,0.048543467948433006,0.951456532051567,-2.9755343591560166
10,5,Anxa2_ligand_receptor_target_gene_GP,0.9438864579712488,0.056113542028751184,2.8226287070365936
11,5,LGALS3BP_ligand_receptor_GP,0.05929224726735533,0.9407077527326446,-2.764153960403382
12,5,FYN_ligand_receptor_GP,0.937,0.06299999999999994,2.6995485558320844
13,5,S100B_ligand_receptor_GP,0.06579596373486533,0.9342040362651347,-2.653136373567997
14,5,COMPLEX:IL12B_IL23A_ligand_receptor_GP,0.07327660502560698,0.926723394974393,-2.5374137432349184
15,5,Estradiol_metabolite_enzyme_sensor_GP,0.0733,0.9267,-2.537069279687476
16,5,HLA-DPA1_ligand_receptor_GP,0.9259783657513754,0.07402163424862462,2.5264934660533607
17,5,HLA-DRA_ligand_receptor_GP,0.07556232458182574,0.9244376754181742,-2.5042278273015204
18,5,L-Glutamic acid_metabolite_enzyme_sensor_GP,0.0762884315724003,0.9237115684275997,-2.493878558384206
19,5,COMPLEX:APP_BACE1_ligand_receptor_GP,0.0795724398426227,0.9204275601573773,-2.448170501610313
20,5,Col17a1_ligand_receptor_target_gene_GP,0.08264707983570345,0.9173529201642966,-2.4069127701180286
21,5,9-cis-Retinoic acid_metabolite_enzyme_sensor_GP,0.0840449357844176,0.9159550642155824,-2.3886157013036398
22,5,Il4_ligand_receptor_target_gene_GP,0.08555520723042864,0.9144447927695714,-2.3691552310681354
23,5,Phosphate_metabolite_enzyme_sensor_GP,0.0858877597158166,0.9141122402841834,-2.364912040830678
24,5,HLA-DPB1_ligand_receptor_GP,0.9115749170583939,0.08842508294160611,2.333018108609909
25,5,TGFBR3_ligand_receptor_GP,0.0906,0.9094,-2.3063308283320385
26,5,Cdh1_ligand_receptor_target_gene_GP,0.9092637574571026,0.09073624254289736,2.304678349968198
